Group,Brewery,City,State,Brewery_id,Name,Beer_ID,ABV,IBU,Style,Ounces
IPA,NorthGate Brewing,Minneapolis,MN,1,Get Together,2692,0.045,50,American IPA,16
IPA,Against the Grain Brewery,Louisville,KY,2,Citra Ass Down,2686,0.08,68,American Double / Imperial IPA,16
IPA,Against the Grain Brewery,Louisville,KY,2,Rico Sauvin,2678,0.076,68,American Double / Imperial IPA,16
IPA,Against the Grain Brewery,Louisville,KY,2,Pile of Face,2675,0.06,65,American IPA,16
IPA,Mike Hess Brewing Company,San Diego,CA,4,Habitus (2014),2668,0.08,100,American Double / Imperial IPA,16
IPA,Mike Hess Brewing Company,San Diego,CA,4,Solis,2667,0.075,85,American IPA,16
IPA,Mike Hess Brewing Company,San Diego,CA,4,Habitus,2664,0.08,100,American Double / Imperial IPA,16
IPA,Fort Point Beer Company,San Francisco,CA,5,Villager,2658,0.063,42,American IPA,12
IPA,Petoskey Brewing,Petoskey,MI,12,Mind's Eye PA,1402,0.067,74,American IPA,16
IPA,Blackrocks Brewery,Marquette,MI,13,Nordskye,2634,0.048,47,American IPA,12
IPA,Blackrocks Brewery,Marquette,MI,13,51K IPA,1481,0.07,51,American IPA,12
IPA,Perrin Brewing Company,Comstock Park,MI,14,98 Problems (Cuz A Hop Ain't One),2630,0.065,65,American IPA,12
IPA,Perrin Brewing Company,Comstock Park,MI,14,Grapefruit IPA,2628,0.05,35,American IPA,12
IPA,Witch's Hat Brewing Company,South Lyon,MI,15,Train Hopper,2627,0.058,72,American IPA,12
IPA,Founders Brewing Company,Grand Rapids,MI,16,Centennial IPA,1565,0.072,65,American IPA,12
IPA,Founders Brewing Company,Grand Rapids,MI,16,All Day IPA,1223,0.047,42,American IPA,12
IPA,Flat 12 Bierwerks,Indianapolis,IN,17,Half Cycle IPA,1610,0.06,104,American IPA,16
IPA,Tin Man Brewing Company,Evansville,IN,18,Overlord Imperial IPA,1449,0.085,115,American Double / Imperial IPA,16
IPA,Tin Man Brewing Company,Evansville,IN,18,Alloy,951,0.058,36,American IPA,16
IPA,Bare Hands Brewery,Granger,IN,21,Thai.p.a,2618,0.07,46,American IPA,16
IPA,Four Fathers Brewing,Valparaiso,IN,23,The Gadget,2610,0.064,90,American IPA,16
IPA,Burn 'Em Brewing,Michigan City,IN,25,Hopkick Dropkick,2471,0.099,115,American Double / Imperial IPA,12
IPA,Burn 'Em Brewing,Michigan City,IN,25,3:33 Black IPA,2158,0.072,86,American IPA,16
IPA,Sun King Brewing Company,Indianapolis,IN,26,Fistful Of Hops Red,2001,0.064,75,American IPA,16
IPA,Sun King Brewing Company,Indianapolis,IN,26,Fistful of Hops Orange,2000,0.063,75,American IPA,16
IPA,Sun King Brewing Company,Indianapolis,IN,26,Fistful Of Hops Blue,1999,0.064,75,American IPA,16
IPA,Sun King Brewing Company,Indianapolis,IN,26,Fistful of Hops Green,1996,0.064,75,American IPA,16
IPA,Sun King Brewing Company,Indianapolis,IN,26,Grapefruit Jungle (GFJ),1420,0.075,77,American IPA,16
IPA,Sun King Brewing Company,Indianapolis,IN,26,Isis,651,0.091,91,American Double / Imperial IPA,16
IPA,Sun King Brewing Company,Indianapolis,IN,26,Grapefruit Jungle (GFJ) (2011),532,0.075,77,American IPA,16
IPA,Evil Czech Brewery,Mishawaka,IN,27,White Reaper,2432,0.07,61,Belgian IPA,16
IPA,450 North Brewing Company,Columbus,IN,28,Citrafest,2602,0.05,45,American IPA,16
IPA,450 North Brewing Company,Columbus,IN,28,Scarecrow,2219,0.069,65,American IPA,16
IPA,Cedar Creek Brewery,Seven Points,TX,30,Gone A-Rye,2600,0.085,90,American Double / Imperial IPA,16
IPA,Cedar Creek Brewery,Seven Points,TX,30,Dankosaurus,2052,0.068,70,American IPA,16
IPA,SanTan Brewing Company,Chandler,AZ,31,Count Hopula (Vault Series),2063,0.091,99,American Double / Imperial IPA,16
IPA,SanTan Brewing Company,Chandler,AZ,31,Hop Shock IPA,1071,0.07,85,American IPA,12
IPA,SanTan Brewing Company,Chandler,AZ,31,Hop Shock IPA (2010),317,0.07,85,American IPA,12
IPA,Boulevard Brewing Company,Kansas City,MO,32,Heavy Lifting,2596,0.062,80,American IPA,12
IPA,The Dudes' Brewing Company,Torrance,CA,34,Double Trunk,1561,0.099,101,American Double / Imperial IPA,16
IPA,Ballast Point Brewing Company,San Diego,CA,35,Even Keel,2105,0.038,40,American IPA,12
IPA,Ballast Point Brewing Company,San Diego,CA,35,Big Eye India Pale Ale,1400,0.07,75,American IPA,12
IPA,Ballast Point Brewing Company,San Diego,CA,35,Sculpin IPA,1018,0.07,70,American IPA,12
IPA,Avery Brewing Company,Boulder,CO,38,Avery India Pale Ale,107,0.063,69,American IPA,12
IPA,Twisted X Brewing Company,Dripping Springs,TX,39,Chupahopra,2458,0.075,63,American IPA,12
IPA,Big Muddy Brewing,Murphysboro,IL,41,Galaxy IPA,2585,0.075,60,American IPA,16
IPA,Rivertowne Brewing Company,Export,PA,44,Jah Mon,2579,0.05,100,American IPA,12
IPA,Revolution Brewing Company,Chicago,IL,45,Anti-Hero IPA,415,0.065,70,American IPA,12
IPA,Tallgrass Brewing Company,Manhattan,KS,46,Ethos IPA,1017,0.068,110,American IPA,16
