"","Brewery","City","State"
"1","NorthGate Brewing","Minneapolis","MN"
"2","NorthGate Brewing","Minneapolis","MN"
"3","NorthGate Brewing","Minneapolis","MN"
"4","NorthGate Brewing","Minneapolis","MN"
"5","NorthGate Brewing","Minneapolis","MN"
"6","NorthGate Brewing","Minneapolis","MN"
"7","Against the Grain Brewery","Louisville","KY"
"8","Against the Grain Brewery","Louisville","KY"
"9","Against the Grain Brewery","Louisville","KY"
"10","Against the Grain Brewery","Louisville","KY"
"11","Against the Grain Brewery","Louisville","KY"
"12","Against the Grain Brewery","Louisville","KY"
"13","Against the Grain Brewery","Louisville","KY"
"14","Against the Grain Brewery","Louisville","KY"
"15","Against the Grain Brewery","Louisville","KY"
"16","Against the Grain Brewery","Louisville","KY"
"17","Against the Grain Brewery","Louisville","KY"
"18","Against the Grain Brewery","Louisville","KY"
"19","Jack's Abby Craft Lagers","Framingham","MA"
"20","Jack's Abby Craft Lagers","Framingham","MA"
"21","Jack's Abby Craft Lagers","Framingham","MA"
"22","Jack's Abby Craft Lagers","Framingham","MA"
"23","Jack's Abby Craft Lagers","Framingham","MA"
"24","Mike Hess Brewing Company","San Diego","CA"
"25","Mike Hess Brewing Company","San Diego","CA"
"26","Mike Hess Brewing Company","San Diego","CA"
"27","Mike Hess Brewing Company","San Diego","CA"
"28","Mike Hess Brewing Company","San Diego","CA"
"29","Mike Hess Brewing Company","San Diego","CA"
"30","Fort Point Beer Company","San Francisco","CA"
"31","Fort Point Beer Company","San Francisco","CA"
"32","Fort Point Beer Company","San Francisco","CA"
"33","Fort Point Beer Company","San Francisco","CA"
"34","Great Divide Brewing Company","Denver","CO"
"35","Tapistry Brewing","Bridgman","MI"
"36","Big Lake Brewing","Holland","MI"
"37","Petoskey Brewing","Petoskey","MI"
"38","Petoskey Brewing","Petoskey","MI"
"39","Petoskey Brewing","Petoskey","MI"
"40","Petoskey Brewing","Petoskey","MI"
"41","Blackrocks Brewery","Marquette","MI"
"42","Blackrocks Brewery","Marquette","MI"
"43","Blackrocks Brewery","Marquette","MI"
"44","Perrin Brewing Company","Comstock Park","MI"
"45","Perrin Brewing Company","Comstock Park","MI"
"46","Perrin Brewing Company","Comstock Park","MI"
"47","Perrin Brewing Company","Comstock Park","MI"
"48","Perrin Brewing Company","Comstock Park","MI"
"49","Witch's Hat Brewing Company","South Lyon","MI"
"50","Founders Brewing Company","Grand Rapids","MI"
"51","Founders Brewing Company","Grand Rapids","MI"
"52","Founders Brewing Company","Grand Rapids","MI"
"53","Flat 12 Bierwerks","Indianapolis","IN"
"54","Flat 12 Bierwerks","Indianapolis","IN"
"55","Tin Man Brewing Company","Evansville","IN"
"56","Tin Man Brewing Company","Evansville","IN"
"57","Tin Man Brewing Company","Evansville","IN"
"58","Tin Man Brewing Company","Evansville","IN"
"59","Tin Man Brewing Company","Evansville","IN"
"60","Tin Man Brewing Company","Evansville","IN"
"61","Tin Man Brewing Company","Evansville","IN"
"62","Tin Man Brewing Company","Evansville","IN"
"63","Black Acre Brewing Co.","Indianapolis","IN"
"64","Bare Hands Brewery","Granger","IN"
"65","Three Pints Brewing","Martinsville","IN"
"66","Three Pints Brewing","Martinsville","IN"
"67","Three Pints Brewing","Martinsville","IN"
"68","Three Pints Brewing","Martinsville","IN"
"69","Four Fathers Brewing","Valparaiso","IN"
"70","Indiana City Brewing","Indianapolis","IN"
"71","Burn 'Em Brewing","Michigan City","IN"
"72","Burn 'Em Brewing","Michigan City","IN"
"73","Burn 'Em Brewing","Michigan City","IN"
"74","Burn 'Em Brewing","Michigan City","IN"
"75","Burn 'Em Brewing","Michigan City","IN"
"76","Sun King Brewing Company","Indianapolis","IN"
"77","Sun King Brewing Company","Indianapolis","IN"
"78","Sun King Brewing Company","Indianapolis","IN"
"79","Sun King Brewing Company","Indianapolis","IN"
"80","Sun King Brewing Company","Indianapolis","IN"
"81","Sun King Brewing Company","Indianapolis","IN"
"82","Sun King Brewing Company","Indianapolis","IN"
"83","Sun King Brewing Company","Indianapolis","IN"
"84","Sun King Brewing Company","Indianapolis","IN"
"85","Sun King Brewing Company","Indianapolis","IN"
"86","Sun King Brewing Company","Indianapolis","IN"
"87","Sun King Brewing Company","Indianapolis","IN"
"88","Sun King Brewing Company","Indianapolis","IN"
"89","Sun King Brewing Company","Indianapolis","IN"
"90","Sun King Brewing Company","Indianapolis","IN"
"91","Sun King Brewing Company","Indianapolis","IN"
"92","Sun King Brewing Company","Indianapolis","IN"
"93","Sun King Brewing Company","Indianapolis","IN"
"94","Sun King Brewing Company","Indianapolis","IN"
"95","Sun King Brewing Company","Indianapolis","IN"
"96","Sun King Brewing Company","Indianapolis","IN"
"97","Sun King Brewing Company","Indianapolis","IN"
"98","Sun King Brewing Company","Indianapolis","IN"
"99","Sun King Brewing Company","Indianapolis","IN"
"100","Sun King Brewing Company","Indianapolis","IN"
"101","Sun King Brewing Company","Indianapolis","IN"
"102","Sun King Brewing Company","Indianapolis","IN"
"103","Sun King Brewing Company","Indianapolis","IN"
"104","Sun King Brewing Company","Indianapolis","IN"
"105","Sun King Brewing Company","Indianapolis","IN"
"106","Sun King Brewing Company","Indianapolis","IN"
"107","Sun King Brewing Company","Indianapolis","IN"
"108","Evil Czech Brewery","Mishawaka","IN"
"109","Evil Czech Brewery","Mishawaka","IN"
"110","Evil Czech Brewery","Mishawaka","IN"
"111","450 North Brewing Company","Columbus","IN"
"112","450 North Brewing Company","Columbus","IN"
"113","450 North Brewing Company","Columbus","IN"
"114","450 North Brewing Company","Columbus","IN"
"115","450 North Brewing Company","Columbus","IN"
"116","Taxman Brewing Company","Bargersville","IN"
"117","Cedar Creek Brewery","Seven Points","TX"
"118","Cedar Creek Brewery","Seven Points","TX"
"119","Cedar Creek Brewery","Seven Points","TX"
"120","Cedar Creek Brewery","Seven Points","TX"
"121","Cedar Creek Brewery","Seven Points","TX"
"122","SanTan Brewing Company","Chandler","AZ"
"123","SanTan Brewing Company","Chandler","AZ"
"124","SanTan Brewing Company","Chandler","AZ"
"125","SanTan Brewing Company","Chandler","AZ"
"126","SanTan Brewing Company","Chandler","AZ"
"127","SanTan Brewing Company","Chandler","AZ"
"128","SanTan Brewing Company","Chandler","AZ"
"129","SanTan Brewing Company","Chandler","AZ"
"130","SanTan Brewing Company","Chandler","AZ"
"131","SanTan Brewing Company","Chandler","AZ"
"132","SanTan Brewing Company","Chandler","AZ"
"133","SanTan Brewing Company","Chandler","AZ"
"134","SanTan Brewing Company","Chandler","AZ"
"135","SanTan Brewing Company","Chandler","AZ"
"136","SanTan Brewing Company","Chandler","AZ"
"137","Boulevard Brewing Company","Kansas City","MO"
"138","The Dudes' Brewing Company","Torrance","CA"
"139","The Dudes' Brewing Company","Torrance","CA"
"140","The Dudes' Brewing Company","Torrance","CA"
"141","Ballast Point Brewing Company","San Diego","CA"
"142","Ballast Point Brewing Company","San Diego","CA"
"143","Ballast Point Brewing Company","San Diego","CA"
"144","Ballast Point Brewing Company","San Diego","CA"
"145","Figueroa Mountain Brewing Company","Buellton","CA"
"146","Figueroa Mountain Brewing Company","Buellton","CA"
"147","Avery Brewing Company","Boulder","CO"
"148","Avery Brewing Company","Boulder","CO"
"149","Avery Brewing Company","Boulder","CO"
"150","Avery Brewing Company","Boulder","CO"
"151","Twisted X Brewing Company","Dripping Springs","TX"
"152","Twisted X Brewing Company","Dripping Springs","TX"
"153","Twisted X Brewing Company","Dripping Springs","TX"
"154","Gonzo's BiggDogg Brewing","Kalamazoo","MI"
"155","Big Muddy Brewing","Murphysboro","IL"
"156","Lost Nation Brewing","East Fairfield","VT"
"157","Lost Nation Brewing","East Fairfield","VT"
"158","Rivertowne Brewing Company","Export","PA"
"159","Revolution Brewing Company","Chicago","IL"
"160","Revolution Brewing Company","Chicago","IL"
"161","Revolution Brewing Company","Chicago","IL"
"162","Revolution Brewing Company","Chicago","IL"
"163","Revolution Brewing Company","Chicago","IL"
"164","Revolution Brewing Company","Chicago","IL"
"165","Revolution Brewing Company","Chicago","IL"
"166","Tallgrass Brewing Company","Manhattan","KS"
"167","Tallgrass Brewing Company","Manhattan","KS"
"168","Tallgrass Brewing Company","Manhattan","KS"
"169","Tallgrass Brewing Company","Manhattan","KS"
"170","Tallgrass Brewing Company","Manhattan","KS"
"171","Tallgrass Brewing Company","Manhattan","KS"
"172","Tallgrass Brewing Company","Manhattan","KS"
"173","Tallgrass Brewing Company","Manhattan","KS"
"174","Tallgrass Brewing Company","Manhattan","KS"
"175","Tallgrass Brewing Company","Manhattan","KS"
"176","Tallgrass Brewing Company","Manhattan","KS"
"177","Tallgrass Brewing Company","Manhattan","KS"
"178","Tallgrass Brewing Company","Manhattan","KS"
"179","Tallgrass Brewing Company","Manhattan","KS"
"180","Tallgrass Brewing Company","Manhattan","KS"
"181","Tallgrass Brewing Company","Manhattan","KS"
"182","Sixpoint Craft Ales","Brooklyn","NY"
"183","Sixpoint Craft Ales","Brooklyn","NY"
"184","Sixpoint Craft Ales","Brooklyn","NY"
"185","Sixpoint Craft Ales","Brooklyn","NY"
"186","Sixpoint Craft Ales","Brooklyn","NY"
"187","Sixpoint Craft Ales","Brooklyn","NY"
"188","Sixpoint Craft Ales","Brooklyn","NY"
"189","Sixpoint Craft Ales","Brooklyn","NY"
"190","Sixpoint Craft Ales","Brooklyn","NY"
"191","Sixpoint Craft Ales","Brooklyn","NY"
"192","Sixpoint Craft Ales","Brooklyn","NY"
"193","Sixpoint Craft Ales","Brooklyn","NY"
"194","Sixpoint Craft Ales","Brooklyn","NY"
"195","Sixpoint Craft Ales","Brooklyn","NY"
"196","Sixpoint Craft Ales","Brooklyn","NY"
"197","Sixpoint Craft Ales","Brooklyn","NY"
"198","Sixpoint Craft Ales","Brooklyn","NY"
"199","Sixpoint Craft Ales","Brooklyn","NY"
"200","Sixpoint Craft Ales","Brooklyn","NY"
"201","Sixpoint Craft Ales","Brooklyn","NY"
"202","Sixpoint Craft Ales","Brooklyn","NY"
"203","Sixpoint Craft Ales","Brooklyn","NY"
"204","Sixpoint Craft Ales","Brooklyn","NY"
"205","Firestone Walker Brewing Company","Paso Robles","CA"
"206","Firestone Walker Brewing Company","Paso Robles","CA"
"207","Firestone Walker Brewing Company","Paso Robles","CA"
"208","SweetWater Brewing Company","Atlanta","GA"
"209","Flying Mouse Brewery","Troutville","VA"
"210","Upslope Brewing Company","Boulder","CO"
"211","Upslope Brewing Company","Boulder","CO"
"212","Upslope Brewing Company","Boulder","CO"
"213","Upslope Brewing Company","Boulder","CO"
"214","Upslope Brewing Company","Boulder","CO"
"215","Upslope Brewing Company","Boulder","CO"
"216","Upslope Brewing Company","Boulder","CO"
"217","Upslope Brewing Company","Boulder","CO"
"218","Bent Brewstillery","Roseville","MN"
"219","Bent Brewstillery","Roseville","MN"
"220","Pollyanna Brewing Company","Lemont","IL"
"221","Destihl Brewery","Bloomington","IL"
"222","Destihl Brewery","Bloomington","IL"
"223","Destihl Brewery","Bloomington","IL"
"224","Destihl Brewery","Bloomington","IL"
"225","Destihl Brewery","Bloomington","IL"
"226","Destihl Brewery","Bloomington","IL"
"227","Summit Brewing Company","St. Paul","MN"
"228","Summit Brewing Company","St. Paul","MN"
"229","Summit Brewing Company","St. Paul","MN"
"230","4 Hands Brewing Company","Saint Louis","MO"
"231","4 Hands Brewing Company","Saint Louis","MO"
"232","4 Hands Brewing Company","Saint Louis","MO"
"233","Surly Brewing Company","Brooklyn Center","MN"
"234","Surly Brewing Company","Brooklyn Center","MN"
"235","Surly Brewing Company","Brooklyn Center","MN"
"236","Surly Brewing Company","Brooklyn Center","MN"
"237","Surly Brewing Company","Brooklyn Center","MN"
"238","Surly Brewing Company","Brooklyn Center","MN"
"239","Surly Brewing Company","Brooklyn Center","MN"
"240","Surly Brewing Company","Brooklyn Center","MN"
"241","Surly Brewing Company","Brooklyn Center","MN"
"242","Surly Brewing Company","Brooklyn Center","MN"
"243","Surly Brewing Company","Brooklyn Center","MN"
"244","Against The Grain Brewery","Louisville","KY"
"245","Against The Grain Brewery","Louisville","KY"
"246","Crazy Mountain Brewing Company","Edwards","CO"
"247","Crazy Mountain Brewing Company","Edwards","CO"
"248","Crazy Mountain Brewing Company","Edwards","CO"
"249","Crazy Mountain Brewing Company","Edwards","CO"
"250","Mikerphone Brewing","Chicago","IL"
"251","Freetail Brewing Company","San Antonio","TX"
"252","Freetail Brewing Company","San Antonio","TX"
"253","Freetail Brewing Company","San Antonio","TX"
"254","Freetail Brewing Company","San Antonio","TX"
"255","Freetail Brewing Company","San Antonio","TX"
"256","3 Daughters Brewing","St Petersburg","FL"
"257","Red Shedman Farm Brewery and Hop...","Mt. Airy","MD"
"258","Red Shedman Farm Brewery and Hop...","Mt. Airy","MD"
"259","Red Shedman Farm Brewery and Hop...","Mt. Airy","MD"
"260","Red Shedman Farm Brewery and Hop...","Mt. Airy","MD"
"261","Appalachian Mountain Brewery","Boone","NC"
