Style,City,State
American IPA,Minneapolis,MN
Milk / Sweet Stout,Minneapolis,MN
English Brown Ale,Minneapolis,MN
Pumpkin Ale,Minneapolis,MN
American Porter,Minneapolis,MN
Extra Special / Strong Bitter (ESB),Minneapolis,MN
American Double / Imperial IPA,Louisville,KY
English Barleywine,Louisville,KY
Milk / Sweet Stout,Louisville,KY
American Pale Ale (APA),Louisville,KY
German Pilsener,Louisville,KY
Pumpkin Ale,Louisville,KY
Belgian Pale Ale,Louisville,KY
American Pilsner,Louisville,KY
American Double / Imperial IPA,Louisville,KY
Saison / Farmhouse Ale,Louisville,KY
American IPA,Louisville,KY
English Brown Ale,Louisville,KY
Keller Bier / Zwickel Bier,Framingham,MA
American Pale Lager,Framingham,MA
American India Pale Lager,Framingham,MA
American India Pale Lager,Framingham,MA
American India Pale Lager,Framingham,MA
American Double / Imperial IPA,San Diego,CA
American IPA,San Diego,CA
Wheat Ale,San Diego,CA
American Double / Imperial IPA,San Diego,CA
Cream Ale,San Diego,CA
Kölsch,San Diego,CA
American Pale Wheat Ale,San Francisco,CA
American Amber / Red Ale,San Francisco,CA
Kölsch,San Francisco,CA
American IPA,San Francisco,CA
Russian Imperial Stout,Denver,CO
American Porter,Bridgman,MI
American Stout,Holland,MI
American Pale Lager,Petoskey,MI
American Amber / Red Ale,Petoskey,MI
Dubbel,Petoskey,MI
American IPA,Petoskey,MI
American IPA,Marquette,MI
Foreign / Export Stout,Marquette,MI
American IPA,Marquette,MI
American Brown Ale,Comstock Park,MI
American Blonde Ale,Comstock Park,MI
American IPA,Comstock Park,MI
American Pale Ale (APA),Comstock Park,MI
American IPA,Comstock Park,MI
American IPA,South Lyon,MI
Scotch Ale / Wee Heavy,Grand Rapids,MI
American IPA,Grand Rapids,MI
American IPA,Grand Rapids,MI
American Blonde Ale,Indianapolis,IN
American IPA,Indianapolis,IN
American Porter,Evansville,IN
Fruit / Vegetable Beer,Evansville,IN
Russian Imperial Stout,Evansville,IN
American Double / Imperial IPA,Evansville,IN
American IPA,Evansville,IN
Irish Red Ale,Evansville,IN
American Porter,Evansville,IN
Czech Pilsener,Evansville,IN
Rye Beer,Indianapolis,IN
American IPA,Granger,IN
American Pale Wheat Ale,Martinsville,IN
Oatmeal Stout,Martinsville,IN
American Pale Ale (APA),Martinsville,IN
California Common / Steam Beer,Martinsville,IN
American IPA,Valparaiso,IN
American Pale Ale (APA),Indianapolis,IN
American Pale Ale (APA),Michigan City,IN
American Double / Imperial IPA,Michigan City,IN
American Pale Wheat Ale,Michigan City,IN
American IPA,Michigan City,IN
American Pale Ale (APA),Michigan City,IN
Altbier,Indianapolis,IN
American Porter,Indianapolis,IN
